Coral,Species,SpecVarFrag,Species,Variant,Frag,Tank,C1,C3,C15,C21,C26,D1,Symbi,Col
O1,Mcap1,M.cap.1.1.Out,1,1,1,Outside,0.06,0,0,0,0.94,0,C26,1
O2,Mcap1,M.cap.1.2.Out,1,1,2,Outside,0,0,0,0,1,0,C26,1
O3,Mcap1,M.cap.1.3.Out,1,1,3,Outside,0,0,0,0,1,0,C26,1
O4,Ayong1,A.yong.1.1.Out,2,1,1,Outside,0,0,0,1,0,0,C21,1
O5,Ayong1,A.yong.1.2.Out,2,1,2,Outside,0,0,0,1,0,0,C21,1
O6,Ayong1,A.yong.1.3.Out,2,1,3,Outside,0,0,0,1,0,0,C21,1
O7,Mdig1,M.dig.1.1.Out,3,1,1,Outside,0,0,0,1,0,0,C21,1
O8,Mdig1,M.dig.1.2.Out,3,1,2,Outside,0,0,1,0,0,0,C15,1
O9,Mdig1,M.dig.1.3.Out,3,1,3,Outside,0,0,0.64,0,0,0.36,C15D1,1
O10,Tren1,T.ren.1.1.Out,4,1,1,Outside,0,0,0,0,0,1,D1,1
O11,Tren1,T.ren.1.2.Out,4,1,2,Outside,0,0,0.01,0.01,0,0.98,D1,1
O12,Tren1,T.ren.1.3.Out,4,1,3,Outside,0,0,0,0,0,1,D1,1
O13,Echin1,Echin.1.1.Out,5,1,1,Outside,1,0,0,0,0,0,C1,1
O14,Echin1,Echin.1.2.Out,5,1,2,Outside,1,0,0,0,0,0,C1,1
O15,Echin1,Echin.1.3.Out,5,1,3,Outside,1,0,0,0,0,0,C1,1
O16,Mcap2,M.cap.2.1.Out,1,2,1,Outside,0,0,1,0,0,0,C15,1
O17,Mcap2,M.cap.2.2.Out,1,2,2,Outside,0,0,1,0,0,0,C15,1
O18,Mcap2,M.cap.2.3.Out,1,2,3,Outside,0,0,1,0,0,0,C15,1
O19,Mdig2,M.dig.2.1.Out,3,2,1,Outside,0,0,1,0,0,0,C15,1
O20,Mdig2,M.dig.2.2.Out,3,2,2,Outside,0,0,1,0,0,0,C15,1
O21,Mdig2,M.dig.2.3.Out,3,2,3,Outside,0,0,1,0,0,0,C15,1
O22,Mcap3,M.cap.3.1.Out,1,3,1,Outside,0,0,1,0,0,0,C15,1
O23,Mcap3,M.cap.3.2.Out,1,3,2,Outside,0,0,1,0,0,0,C15,1
O24,Mcap3,M.cap.3.3.Out,1,3,3,Outside,0,0,1,0,0,0,C15,1
O25,Amill1,A.mill.1.1.Out,6,1,1,Outside,0,1,0,0,0,0,C3,1
O26,Amill1,A.mill.1.2.Out,6,1,2,Outside,0,1,0,0,0,0,C3,1
O27,Amill1,A.mill.1.3.Out,6,1,3,Outside,0,1,0,0,0,0,C3,1
O28,Ahum1,A.hum.1.1.Out,7,1,1,Outside,0,1,0,0,0,0,C3,1
O29,Ahum1,A.hum.1.2.Out,7,1,2,Outside,0,1,0,0,0,0,C3,1
O30,Ahum1,A.hum.1.3.Out,7,1,3,Outside,0,1,0,0,0,0,C3,1
O31,Acro1,Acro.1.1.Out,8,1,1,Outside,0,0,0,1,0,0,C21,1
O32,Acro1,Acro.1.2.Out,8,1,2,Outside,0,0,0,1,0,0,C21,1
O33,Acro1,Acro.1.3.Out,8,1,3,Outside,0,0,0,1,0,0,C21,1
O34,Acro2,Acro.2.1.Out,8,2,1,Outside,0,0.93,0,0.07,0,0,C3,1
O35,Acro2,Acro.2.2.Out,8,2,2,Outside,0,1,0,0,0,0,C3,1
O36,Acro2,Acro.2.3.Out,8,2,3,Outside,0,1,0,0,0,0,C3,1
O37,Acro3,Acro.3.1.Out,8,3,1,Outside,0,0,0,0,0,0,C94,1
O38,Acro3,Acro.3.2.Out,8,3,2,Outside,0,0,0,0,0,0,C94,1
