"","Cpercell","Npercell","Ppercell","CN","NP","CP","ChlA","Size","BNVolume","SSC","BodipyMinus","CperVol","NperVol","PperVol","ChlAperVol"
"M.cap.1.1.Out",0.000268014,2.83e-05,1.98e-06,9.49726776,13.64224282,129.5640329,30.3442623,3.30305706,18.85934591,2.375504711,1196,1.42e-05,1.5e-06,1.05e-07,1.608977451
"M.cap.1.2.Out",NA,NA,1.73e-06,NA,NA,NA,31.39571354,3.504749047,22.5293767,3.190497535,2872,NA,NA,7.68e-08,1.39354559
"M.cap.1.3.Out",0.000332723,3.68e-05,1.54e-06,9.041366631,24.43241335,220.9024067,30.21692854,4.414069237,45.00863279,3.009025271,3317,7.39e-06,8.18e-07,3.42e-08,0.671358508
"A.yong.1.1.Out",0.000142847,1.97e-05,6.44e-07,7.265914413,31.54572944,229.2085702,24.80658651,3.756822029,27.74854803,2.11002331,15079,5.15e-06,7.1e-07,2.32e-08,0.893977821
"A.yong.1.2.Out",0.000138216,1.84e-05,5.94e-07,7.516456494,30.3706562,228.279716,25.82540512,3.722833144,27.00219771,2.000457666,2272,5.12e-06,6.81e-07,2.2e-08,0.956418637
"A.yong.1.3.Out",0.000127316,1.74e-05,6.23e-07,7.290334055,28.17920329,205.4358054,27.2066632,3.844189419,29.72985114,1.923254739,2467,4.28e-06,5.85e-07,2.1e-08,0.915129479
"T.ren.1.1.Out",0.000168455,2.87e-05,1.12e-06,5.865468006,25.36810844,148.7958284,20.05601233,5.208590566,73.95014973,3.794477139,10020,2.28e-06,3.88e-07,1.51e-08,0.271209895
"T.ren.1.2.Out",NA,NA,NA,6.276166456,28.22008541,177.1139534,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T.ren.1.3.Out",NA,NA,NA,4.41691113,35.59727986,157.2300216,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M.cap.2.1.Out",0.000101802,1.56e-05,5.45e-07,6.544211066,28.25946727,184.9359184,23.05772231,3.893211054,30.88177405,2.845475638,2127,3.3e-06,5.05e-07,1.76e-08,0.746645004
"M.cap.2.2.Out",0.000182446,2.9e-05,8.39e-07,6.296777841,35.8620852,225.8155834,23.79816045,3.726632233,27.08494798,3.0496614,3104,6.74e-06,1.07e-06,3.1e-08,0.878648926
"M.cap.2.3.Out",0.000121854,1.92e-05,5.46e-07,6.346913422,35.18410059,223.3104403,NA,3.722066805,26.98552607,3.591601292,1826,4.52e-06,7.11e-07,2.02e-08,7.972437295
"M.dig.2.1.Out",0.000221858,2.82e-05,9.23e-07,7.871407281,30.24964664,238.1072888,22.03410283,3.80306815,28.78596026,2.698727016,1704,7.71e-06,9.8e-07,3.21e-08,0.765446163
"M.dig.2.2.Out",0.000244587,2.84e-05,NA,8.628273366,NA,NA,21.4924597,3.568559362,23.78248187,2.79972752,1526,1.03e-05,1.19e-06,NA,0.903709706
"M.dig.2.3.Out",0.000221722,2.53e-05,9.19e-07,8.779646583,26.24460113,230.4183226,21.27102804,3.61107352,24.6426489,3.020323326,2017,9e-06,1.03e-06,3.73e-08,0.863179447
"M.cap.3.1.Out",0.000183514,2.21e-05,7.41e-07,8.298378475,29.69387513,246.4110142,25.26111686,3.654170418,25.53552494,3.14028777,2662,7.19e-06,8.65e-07,2.9e-08,0.98925387
"M.cap.3.2.Out",NA,NA,1.11e-06,NA,NA,NA,22.48453608,3.833100972,29.47332796,3.732283465,1766,NA,NA,3.77e-08,0.762877409
"M.cap.3.3.Out",0.000203733,2.46e-05,7.94e-07,8.293505675,30.03648069,249.1077231,24.00686378,3.874289861,30.43369807,3.29663028,1258,6.69e-06,8.08e-07,2.61e-08,0.788825062
"A.mill.1.1.Out",0.00044728,6.45e-05,NA,6.907103825,NA,NA,20.19552782,3.318782539,19.12999194,2.454673556,0,2.34e-05,3.37e-06,NA,1.055699756
"A.mill.1.2.Out",0.000142583,1.81e-05,6.85e-07,7.875498449,26.41592952,208.038612,20.50286011,3.486186594,22.17329746,2.629917658,0,6.43e-06,8.16e-07,3.09e-08,0.92466446
"A.mill.1.3.Out",0.000377511,4.28e-05,1.62e-06,8.820558263,28.26240676,249.2902055,20.46382093,3.154685691,16.4303451,2.553547221,1432,2.3e-05,2.6e-06,9.86e-08,1.245489416
