Sample,Species,Variant,Replicate,Tank,Symb,uniq,stat,Gen,use,use2
O1,Mcap1,1,1,Outside,C26,M.cap.1.1.Out,Mcap,Montipora,y,Y
O2,Mcap1,1,2,Outside,C26,M.cap.1.2.Out,Mcap,Montipora,y,Y
O3,Mcap1,1,3,Outside,C26,M.cap.1.3.Out,Mcap,Montipora,y,Y
O4,Ayong1,1,1,Outside,C21,A.yong.1.1.Out,Ayong,Acropora,y,Y
O5,Ayong1,1,2,Outside,C21,A.yong.1.2.Out,Ayong,Acropora,y,Y
O6,Ayong1,1,3,Outside,C21,A.yong.1.3.Out,Ayong,Acropora,y,Y
O7,Mdig1,1,1,Outside,C21,M.dig.1.1.Out,Mdig,Montipora,n,Y
O8,Mdig1,1,2,Outside,C15,M.dig.1.2.Out,Mdig,Montipora,n,Y
O10,Tren1,1,1,Outside,D1,T.ren.1.1.Out,Tren,Turbinaria,y,Y
O11,Tren1,1,2,Outside,D1,T.ren.1.2.Out,Tren,Turbinaria,y,Y
O12,Tren1,1,3,Outside,D1,T.ren.1.3.Out,Tren,Turbinaria,y,Y
O16,Mcap2,2,1,Outside,C15,M.cap.2.1.Out,Mcap,Montipora,y,Y
O17,Mcap2,2,2,Outside,C15,M.cap.2.2.Out,Mcap,Montipora,y,Y
O18,Mcap2,2,3,Outside,C15,M.cap.2.3.Out,Mcap,Montipora,y,Y
O19,Mdig2,2,1,Outside,C15,M.dig.2.1.Out,Mdig,Montipora,y,Y
O20,Mdig2,2,2,Outside,C15,M.dig.2.2.Out,Mdig,Montipora,y,Y
O21,Mdig2,2,3,Outside,C15,M.dig.2.3.Out,Mdig,Montipora,y,Y
O22,Mcap3,3,1,Outside,C15,M.cap.3.1.Out,Mcap,Montipora,y,Y
O23,Mcap3,3,2,Outside,C15,M.cap.3.2.Out,Mcap,Montipora,y,Y
O24,Mcap3,3,3,Outside,C15,M.cap.3.3.Out,Mcap,Montipora,y,Y
O25,Amill1,1,1,Outside,C3,A.mill.1.1.Out,Amill,Acropora,y,Y
O26,Amill1,1,2,Outside,C3,A.mill.1.2.Out,Amill,Acropora,y,Y
O27,Amill1,1,3,Outside,C3,A.mill.1.3.Out,Amill,Acropora,y,Y
O28,Ahum1,1,1,Outside,C3,A.hum.1.1.Out,Ahum,Acropora,y,Y
O29,Ahum1,1,2,Outside,C3,A.hum.1.2.Out,Ahum,Acropora,y,Y
O30,Ahum1,1,3,Outside,C3,A.hum.1.3.Out,Ahum,Acropora,y,Y
O31,Acro1,1,1,Outside,C21,Acro.1.1.Out,Acro,Acropora,y,Y
O32,Acro1,1,2,Outside,C21,Acro.1.2.Out,Acro,Acropora,y,Y
O33,Acro1,1,3,Outside,C21,Acro.1.3.Out,Acro,Acropora,y,Y
O34,Acro2,2,1,Outside,C3,Acro.2.1.Out,Acro,Acropora,y,Y
O35,Acro2,2,2,Outside,C3,Acro.2.2.Out,Acro,Acropora,y,Y
O36,Acro2,2,3,Outside,C3,Acro.2.3.Out,Acro,Acropora,y,Y
O39,Ayong1,1,4,Outside,C21,A.yong.1.4.Out,Ayong,Acropora,n,Y
O40,Mdig3,3,1,Outside,C15,M.dig.3.1.Out,Mdig,Montipora,n,Y
O42,Mdig3,3,3,Outside,C15,M.dig.3.3.Out,Mdig,Montipora,n,Y
O43,Pav1,1,1,Outside,C1,Pav.1.1.Out,Pav,Pavona,y,Y
O44,Pav1,1,2,Outside,C1,Pav.1.2.Out,Pav,Pavona,y,Y
O45,Pav1,1,3,Outside,C1,Pav.1.3.Out,Pav,Pavona,y,Y
O46,Tren2,2,1,Outside,D1,T.ren.2.1.Out,Tren,Turbinaria,y,Y
O47,Tren2,2,2,Outside,D1,T.ren.2.2.Out,Tren,Turbinaria,y,Y
O48,Tren2,2,3,Outside,D1,T.ren.2.3.Out,Tren,Turbinaria,y,Y
O49,Psam1,1,1,Outside,D1,Psam.1.1.Out,Psam,Psammacora,y,Y
O50,Psam1,1,2,Outside,D1,Psam.1.2.Out,Psam,Psammacora,y,Y
O51,Psam1,1,3,Outside,D1,Psam.1.3.Out,Psam,Psammacora,y,Y
O52,Pdam1,1,1,Outside,D1,P.dam.1.1.Out,Pdam,Pocillopora,n,Y
O53,Pdam1,1,2,Outside,D1,P.dam.1.2.Out,Pdam,Pocillopora,n,Y
O55,Pdam2,2,1,Outside,D1,P.dam.2.1.Out,Pdam,Pocillopora,y,Y
O56,Pdam2,2,2,Outside,D1,P.dam.2.2.Out,Pdam,Pocillopora,y,Y
O57,Pdam2,2,3,Outside,D1,P.dam.2.3.Out,Pdam,Pocillopora,y,Y
O58,Pdam3,3,1,Outside,D1,P.dam.3.1.Out,Pdam,Pocillopora,y,Y
