"","M.cap.1.1.Out","M.cap.1.2.Out","M.cap.1.3.Out","A.yong.1.1.Out","A.yong.1.2.Out","A.yong.1.3.Out","T.ren.1.1.Out","T.ren.1.2.Out","T.ren.1.3.Out","M.cap.2.1.Out","M.cap.2.2.Out","M.cap.2.3.Out","M.dig.2.1.Out","M.dig.2.2.Out","M.dig.2.3.Out","M.cap.3.1.Out","M.cap.3.2.Out","M.cap.3.3.Out","A.mill.1.1.Out","A.mill.1.2.Out","A.mill.1.3.Out","A.hum.1.1.Out","A.hum.1.2.Out","A.hum.1.3.Out","Acro.1.1.Out","Acro.1.2.Out","Acro.1.3.Out","Acro.2.1.Out","Acro.2.2.Out","Acro.2.3.Out","Pav.1.1.Out","Pav.1.2.Out","Pav.1.3.Out","T.ren.2.1.Out","T.ren.2.2.Out","T.ren.2.3.Out","Psam.1.1.Out","Psam.1.2.Out","Psam.1.3.Out","P.dam.2.1.Out","P.dam.2.2.Out","P.dam.2.3.Out","P.dam.3.1.Out","P.dam.3.2.Out","P.dam.3.3.Out","Cyph.1.1.Out","Cyph.1.2.Out","Cyph.1.3.Out","A.hum.2.1.In","A.hum.2.2.In","A.hum.2.3.In","M.cap.3.1.In","M.cap.3.2.In","M.cap.3.3.In","M.cap.2.1.In","M.cap.2.2.In","M.cap.2.3.In","T.ren.1.1.In","T.ren.1.2.In","T.ren.1.3.In"
"Quant.1.0",0.418751719,0.4096184,0.392116831,0.451662557,0.48378921,0.443391409,0.358597644,0.409000023,0.422936911,0.272154568,0.262638707,0.250319641,0.372466348,0.428119213,0.426316184,0.268929759,0.289216896,0.351328885,0.379087302,0.397074577,0.383670972,0.437787762,0.407186707,0.387055722,0.503292514,0.480036106,0.427600709,0.470139572,0.419893274,0.41102209,0.333361727,0.450795602,0.466186576,0.404347539,0.359056272,0.393233487,0.386067348,0.378517753,0.374186163,0.41153279,0.424866201,0.415704002,0.465206528,0.408935137,0.430983265,0.415948678,0.369819603,0.371883801,0.405880709,0.377804616,0.410989126,0.34241269,0.325689179,0.317823378,0.300311915,0.31578855,0.3164447,0.43420162,0.432738099,0.413827669
"Sigma.1.0",4.476507541,4.275036884,4.325779639,4.516443968,5.287319092,5.225572064,4.422830541,4.065454356,3.868610918,6.186533816,7.126006986,6.925740948,6.154798251,5.199234876,5.412869036,4.425328378,3.860521047,3.94453476,5.247176574,5.640054742,4.957609954,6.391139719,7.64084504,6.108622589,4.997774843,5.674230677,4.275466591,4.981350895,5.520372598,5.087545786,5.589748232,5.748803074,3.938511335,3.60555942,4.315908499,3.925881576,4.905931399,5.108072857,4.754438869,5.47098008,5.164231922,5.440603892,4.495775331,4.796254224,5.259354954,4.837419028,7.466972201,6.20783194,7.585467831,6.906499546,6.888127962,5.147962164,5.089537252,4.817505537,6.509796906,6.575559777,5.260996613,3.886699125,5.260296678,3.887977561
"Connect.1.0",0,0,0.015401616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025795452,0,0,0,0,0,0,0,0,0,0,0,0.05489405,0,0.151687879,0.013518857,0,0,0,0,0.086932602,0,0,0,0.108922201,0,0,0.069074846,0,0.119468546,0,0,0.084342809,0,0,0,0,0,0
"Tau1.1.0",711.2046663,911.0131853,961.5352193,987.9962822,1424.114509,1123.77918,1045.62327,1025.969216,1067.223717,1194.912034,1384.325541,1209.223968,1224.430682,926.5164433,803.6207829,985.4615084,1265.185187,883.9862715,1810.520809,1188.207947,1246.234764,900.2130859,1048.582289,1067.751857,1125.758473,925.4651961,1057.184132,1224.485346,1534.511783,915.9605592,1286.105824,829.3541466,883.0428344,790.4834735,943.8950522,1125.447978,1360.961624,1002.128435,977.00208,1017.849207,988.302919,905.0114058,913.1902184,921.6889689,773.5082555,997.0698982,1312.118377,1071.269793,858.2363573,1315.00376,996.3717936,764.0985604,954.8410911,969.7673414,1007.436113,889.7241447,1004.702104,722.6404581,766.6000745,822.4081572
"Tau2.1.0",2601367.736,1431233.917,2896930.011,846640.1214,640239.7915,688006.6062,2140776.842,1016623.776,862959.8685,3163790.843,2962965.886,7033233.545,948922.397,1060053.484,999177.9047,2027621.51,1480321.652,1914270.052,842994.0311,705777.8032,713616.6601,919070.5939,715962.3015,813290.735,546775.5581,594201.0588,759384.6927,605189.3283,581834.5653,640508.6674,2276140.391,1398636.539,1558282.519,877352.9594,961623.2504,813054.0705,677862.7686,752676.0753,1494865.288,640147.5586,658050.8222,819225.7661,590649.719,820847.6795,777759.7876,898795.737,587984.3353,638996.8221,2006562.53,2491794.758,3280639.155,1437397.503,1888485.414,2305720.597,2992177.431,3561775.914,4352112.564,954736.9858,777892.002,1235185.478
"NPQ.1.0",0.313583407,0.228305393,0.211560151,0.231191755,0.159413272,0.261353088,0.214078821,0.294727715,0.249611557,0.040417157,0.086863759,0.200085898,0.083035415,0.32192785,0.234167636,0.042849993,0,0.103736208,0,0,0,0.428379831,0.290603037,0.256252538,0.371476379,0.377681586,0.099840394,0,0,0.084581105,0.142512834,0.284168223,0.241125141,0.232413437,0.109475604,0.106861571,0.088584102,0.168821365,0.19552635,0.206797279,0.262158466,0.142595628,0.116934732,0,0.173300647,0.136377838,0.15360053,0.154414907,0.316767855,0.418367464,0.403297199,0.10968303,0.121234641,0.085043155,0.114786356,0.186617374,0.141777575,0.109776096,0.240298939,0.079480829
"qP.1.0",0.849363711,0.778882918,0.765419998,0.917636518,0.884864093,0.888873121,0.801681387,0.890958744,0.884871927,0.437842478,0.459152162,0.53073074,0.585300614,0.780398001,0.766229903,0.491430429,0.467236784,0.686411564,0.724512413,0.741949363,0.718525415,0.917722958,0.795020506,0.844235922,0.997423387,0.955996745,0.809848358,0.767627721,0.669669113,0.723948553,0.809820845,0.994303209,1,0.886397425,0.701343275,0.799656694,1,0.903853613,0.964187985,0.943069583,1,1,0.868819528,0.85449753,0.850946816,0.894386894,0.826753781,0.860489745,0.830867132,0.934166833,0.917681803,0.692538102,0.671906723,0.648078102,0.608292064,0.68000731,0.685674313,0.905879086,0.944081683,0.84700525
"ABQ.1.0",0.107706158,0.155687748,0.147037293,0.169722851,0.228130731,0.178854659,0.157908081,0.109816979,0.325240247,0.249633098,0.084808542,0.207986394,0.064226999,0.031896009,0.127949655,0.113150971,0.201278025,0.191229065,0.23041174,0.241379098,0.205122598,0.043328578,0.117636928,0.418840386,0.11444705,0.179749314,0.197715336,0.255323431,0.230183145,0.22224908,0.18775655,0.17157756,0.089503915,0.165052594,0.184021371,0.117404604,0.123154151,0.208668375,0.08945158,0.147554732,0.191820229,0.125461146,0.231134652,0.222243139,0.13134564,0.032895801,0.089033629,0.057047388,0,0,0,0.074664865,0.198850042,0.113182112,0.219607546,0.118498592,0.188075609,0.163199967,0.111156084,0.220364667
"Quant.2.0",0.359270856,0.344784453,0.323858554,0.369209436,0.37965906,0.369086517,0.291674944,0.352153495,0.329417665,0.220763269,0.216891071,0.199848081,0.27544433,0.341935539,0.353487484,0.211334218,0.217282288,0.288913616,0.291831491,0.327516539,0.307066305,0.389464199,0.365521503,0.329440614,0.407103968,0.408326445,0.345069086,0.359406063,0.325839395,0.335442025,0.268647753,0.371847795,0.366568507,0.327802179,0.281882724,0.320133333,0.314406728,0.31539445,0.315506213,0.333738797,0.344572643,0.348160108,0.382078092,0.331304104,0.350667004,0.351705796,0.314291315,0.315352194,0.363591716,0.341002917,0.369991849,0.279650745,0.263441294,0.25869275,0.242080334,0.250300105,0.254524776,0.36203322,0.358109731,0.318869633
"Sigma.2.0",5.016853565,5.06333631,5.071475695,5.439682369,6.850018916,6.363760231,5.252194496,4.566987082,4.988667077,8.244678442,7.786356526,8.744472182,6.577234271,5.370533459,6.207060255,4.989945566,4.833372776,4.877196483,6.81816089,7.434615536,6.23694917,6.680600649,8.65952495,7.437727363,5.643677027,6.344542384,5.329114193,6.689281099,7.171020692,6.541356182,6.881863105,6.93945842,4.325676297,4.106242225,5.289242075,4.448110193,5.594975908,6.455034392,5.221511304,6.417983987,6.389954449,6.078456798,5.847285672,6.166778414,6.054600307,5.001962596,8.196759441,6.583397577,7.32747428,6.232173456,6.186130235,5.563348856,6.352789762,5.432350433,8.341696379,7.459500026,6.479663222,4.644716747,5.918133184,4.986918108
"Connect.2.0",0.184528363,0.187895154,0.238839513,0.225415472,0.157377446,0.2458552,0.034628205,0.160264037,0.118640508,0.135562197,0.077314275,0.246641252,0.100809487,0.138871657,0.257613522,0.077324705,0.200555681,0.099505093,0.104903908,0.198920284,0.203695436,0.261988502,0.187381471,0.170394577,0.142716667,0.116699427,0.00825058,0.320461418,0.248756594,0.270783055,0.069732456,0.065451209,0,0.168556983,0.241695439,0.200000727,0.026120719,0.03307875,0.084164753,0.163365352,0.227174665,0.169749498,0.118632066,0.160845737,0.154227919,0.358767955,0.317221122,0.132434347,0.29717754,0,0.224057408,0.00487423,0.053778311,0.145712833,0.251201628,0.311109328,0.229937691,0.089041036,0.124291156,0.252307015
"Tau1.2.0",924.4805647,1022.532894,1068.350271,1101.369458,1355.02036,1264.575827,1333.838049,1232.605651,1307.188742,1301.844493,1504.400491,1358.389671,1397.907289,1149.783121,1089.453629,995.9952952,1015.215121,1020.358537,1354.940072,1335.365501,1156.816399,1078.570835,1388.423845,1292.34508,1184.263533,1121.935642,1038.398513,1112.146596,1201.196103,1163.291489,1506.362826,1280.928116,990.1724679,853.7042146,1053.014323,1119.187207,1298.533257,1336.781405,1023.45938,1377.821805,1261.060856,1122.456534,975.1381755,987.5254691,949.4999392,1044.269208,1830.382389,1413.737187,1045.142067,1501.658803,1198.361322,945.8814734,893.3371495,964.0708315,1251.355795,1187.665691,1023.623352,769.8893814,929.83711,885.7708383
"Tau2.2.0",2120661.039,1154737.549,1389267.678,934932.6604,826265.803,799914.4123,1675055.556,1049193.686,1122781.882,3614578.38,3546734.023,2514403.585,2038516.204,1559564.227,1390399.314,2102495.328,2419042.94,2026996.666,1207945.409,928220.1981,1220317.581,756478.857,708682.6954,786865.1814,501116.4805,519085.3177,846417.6724,662448.1349,728407.369,938427.7531,2116815.139,1348727.511,1344558.452,992889.9277,1275168.259,918301.4258,767629.9145,1019244.101,1080822.651,1021890.989,927071.869,970461.1186,664066.0952,793118.3582,876061.1782,762706.6534,675931.8532,728503.7443,1421635.977,1571267.722,1714794.066,1455649.745,1206278.83,2433955.338,2588572.739,2693402.995,2423713.904,840400.369,735893.0305,1142964.079
"NPQ.2.0",0.424358279,0.329366037,0.326756326,0.398119652,0.453121639,0.408804238,0.296002276,0.381922134,0.413521596,0.204220095,0.223466202,0.318797295,0.273672628,0.473205528,0.371995693,0.125291924,0.099612449,0.202203441,0.159082332,0.097773055,0.131711571,0.481087616,0.358190841,0.365718974,0.522410829,0.497159566,0.245363114,0.212968892,0.165122477,0.214011256,0.278111019,0.409254213,0.412890624,0.327766735,0.219953991,0.197294378,0.164091331,0.257105951,0.280433995,0.305128434,0.369481933,0.273802817,0.2997607,0.251416874,0.320404595,0.215170787,0.243422302,0.231048631,0.359039289,0.401774027,0.382430327,0.195111061,0.229685131,0.184164538,0.224345515,0.261521578,0.215743613,0.276772206,0.333044373,0.220849476
"qP.2.0",0.838171366,0.760539916,0.753308718,0.908041407,0.914104421,0.878441238,0.770677075,0.870740214,0.864137245,0.514329895,0.513919023,0.556128709,0.599982545,0.76103533,0.757086784,0.491720842,0.465574026,0.680116654,0.743508359,0.723892996,0.726092845,0.88954362,0.783522756,0.839160099,0.954770499,0.928698095,0.800632909,0.770468348,0.672043734,0.71704052,0.831734527,0.962926656,0.968031582,0.847042183,0.683169124,0.764879576,0.942714746,0.879009696,0.941695733,0.900979801,0.957892238,0.999280725,0.874474789,0.973004906,0.839716192,0.85842723,0.817285529,0.837744256,0.805004356,0.881833648,0.860761773,0.675273535,0.675983889,0.652777104,0.622345404,0.651618686,0.660886654,0.924654882,0.902043049,0.819385195
"ABQ.2.0",0,0,0,0,0,0,0,0,0.129881025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.292392565,0,0.082850956,0,0,0,0,0,0,0,0.049108364,0,0,0,0,0,0,0,0.022930773,0,0,0,0,0,0,0.034011554,0.097636449,0.101914153,0,0,0,0,0,0,0,0,0
"Quant.3.0",0.131716756,0.10664164,0.101818721,0.102241123,0.067658332,0.091700583,0.066434438,0.087371781,0.055649945,0.07218058,0.059247705,0.052584608,0.046929663,0.043983054,0.074361368,0.080196762,0.074747126,0.094940656,0.088041963,0.100808476,0.124748623,0.099390155,0.092251455,0.064685772,0.034765577,0.038236849,0.126543044,0.096422516,0.088662,0.077738544,0.065794411,0.078419884,0.084254466,0.073920736,0.067782635,0.084866975,0.099230728,0.118978486,0.094114268,0.07303449,0.063443119,0.096154234,0.098406927,0.130620471,0.102666653,0.106374776,0.089332486,0.105945463,0.091459196,0.067999959,0.094628622,0.100443778,0.090150933,0.091086622,0.068954844,0.075087255,0.072699196,0.127620428,0.122026631,0.123079549
"Sigma.3.0",3.058778041,3.360989116,3.155661206,3.489807625,4.195205989,3.507849984,4.13677212,3.713888445,2.931243316,3.537952857,4.861512921,3.922423737,2.785453442,3.687501847,3.215188984,3.253933835,3.072099865,3.660760043,4.09098824,4.769974266,3.866026885,3.761480641,3.332805985,4.063402669,4.892898085,6.917678676,3.293448399,4.508053088,5.008692133,4.498004941,2.929007081,3.219726334,2.861015358,2.882690022,4.270939808,3.422390957,3.73197975,4.070577526,4.05824657,4.303515657,4.31355253,3.868712468,3.672059048,4.23886226,4.269870263,4.092808584,5.276590691,3.927856692,3.223825586,4.973635772,3.443716443,3.875278472,4.055273756,3.144683248,4.878340742,4.092215409,3.538531283,3.876961691,3.872090665,3.673415955
